epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,6991.4,1.1837,0.72781,1.07021,0.85825,0.85967,0.9043,0.62199,1.19289,0.62668,1.22263,0.0081982,0.0081982,0.0081982
93,7346.68,1.18286,0.72369,1.07122,0.85882,0.85946,0.90469,0.62245,1.19248,0.62591,1.22249,0.0081784,0.0081784,0.0081784
94,7701.37,1.19313,0.73529,1.07438,0.85782,0.85997,0.9045,0.62248,1.19205,0.62529,1.22242,0.0081586,0.0081586,0.0081586
95,8060.37,1.18085,0.7273,1.06871,0.85797,0.85994,0.90422,0.62258,1.19163,0.62555,1.22222,0.0081388,0.0081388,0.0081388
96,8411.06,1.18556,0.72958,1.06846,0.85755,0.86091,0.90404,0.62246,1.19135,0.62506,1.22192,0.008119,0.008119,0.008119
97,8760.11,1.18515,0.73065,1.07001,0.85834,0.86077,0.90458,0.62276,1.19072,0.62442,1.22157,0.0080992,0.0080992,0.0080992
98,9106.79,1.18741,0.72954,1.07313,0.85866,0.86076,0.90522,0.62328,1.19008,0.62407,1.22122,0.0080794,0.0080794,0.0080794
99,9449.71,1.16802,0.71739,1.06427,0.8596,0.86005,0.90569,0.62356,1.18941,0.62366,1.22117,0.0080596,0.0080596,0.0080596
100,9794.35,1.18068,0.72668,1.06993,0.86022,0.85994,0.90588,0.62384,1.18891,0.62318,1.2209,0.0080398,0.0080398,0.0080398
101,10142,1.18113,0.72352,1.0709,0.86088,0.85965,0.90599,0.62436,1.1883,0.62261,1.22047,0.00802,0.00802,0.00802
102,10493.4,1.18033,0.72184,1.06778,0.86168,0.85933,0.90621,0.62452,1.1877,0.62222,1.22015,0.0080002,0.0080002,0.0080002
103,347.535,1.11273,0.66438,1.04499,0.86167,0.85925,0.90611,0.62495,1.18718,0.6221,1.22087,0.0079804,0.0079804,0.0079804
104,684.512,1.13832,0.68737,1.05381,0.86094,0.85961,0.90601,0.62479,1.18691,0.62188,1.2208,0.0079606,0.0079606,0.0079606
105,1015.08,1.14744,0.69988,1.05862,0.86134,0.86053,0.90611,0.6246,1.1867,0.62192,1.22082,0.0079408,0.0079408,0.0079408
106,1352.61,1.15831,0.70333,1.06129,0.86107,0.86029,0.90606,0.6248,1.18668,0.62188,1.22099,0.007921,0.007921,0.007921
107,1689.61,1.15547,0.70128,1.05816,0.86046,0.86046,0.90616,0.62452,1.18638,0.62177,1.22072,0.0079012,0.0079012,0.0079012
108,2023.74,1.15457,0.70071,1.06135,0.86068,0.86082,0.90588,0.62449,1.1862,0.6215,1.22076,0.0078814,0.0078814,0.0078814
109,2358.81,1.159,0.70181,1.06267,0.85933,0.8608,0.90566,0.62453,1.18591,0.62168,1.22087,0.0078616,0.0078616,0.0078616
110,2693.15,1.16215,0.70838,1.06489,0.85821,0.86182,0.90555,0.62455,1.18554,0.6217,1.2207,0.0078418,0.0078418,0.0078418
111,3022.04,1.16469,0.71298,1.06453,0.85805,0.8616,0.90562,0.62491,1.18544,0.62228,1.22073,0.007822,0.007822,0.007822
112,3351.54,1.16929,0.71191,1.06384,0.85921,0.86187,0.90583,0.62505,1.18521,0.62201,1.22055,0.0078022,0.0078022,0.0078022
113,3680.47,1.15994,0.70729,1.0614,0.85905,0.86158,0.9061,0.62514,1.18501,0.62189,1.22035,0.0077824,0.0077824,0.0077824
114,4013.68,1.16688,0.71088,1.06221,0.85857,0.86144,0.90625,0.62538,1.1843,0.62159,1.21962,0.0077626,0.0077626,0.0077626
115,4342.09,1.15811,0.70499,1.06203,0.85852,0.86114,0.90588,0.62544,1.18397,0.62144,1.21955,0.0077428,0.0077428,0.0077428
116,4672.19,1.16075,0.70801,1.0624,0.86002,0.86149,0.90588,0.62531,1.18336,0.62093,1.2194,0.007723,0.007723,0.007723
117,5002.01,1.1647,0.71139,1.06047,0.86085,0.86048,0.90572,0.62558,1.18261,0.62046,1.2189,0.0077032,0.0077032,0.0077032
118,5332.63,1.1646,0.71675,1.06345,0.86043,0.86048,0.90596,0.62588,1.18244,0.62036,1.21865,0.0076834,0.0076834,0.0076834
119,5664.37,1.16823,0.7111,1.06704,0.86047,0.86063,0.90605,0.62563,1.18221,0.62029,1.21872,0.0076636,0.0076636,0.0076636
120,5995.75,1.16989,0.71608,1.06118,0.86008,0.86167,0.90625,0.62624,1.18203,0.61973,1.21879,0.0076438,0.0076438,0.0076438
121,6327.84,1.1725,0.70932,1.06155,0.85955,0.86243,0.90665,0.62635,1.18193,0.61954,1.21861,0.007624,0.007624,0.007624
122,6657.46,1.16356,0.71046,1.06079,0.85983,0.8619,0.90667,0.6266,1.18123,0.61914,1.21826,0.0076042,0.0076042,0.0076042
123,6984.15,1.16349,0.70709,1.06179,0.86098,0.86096,0.90679,0.62687,1.18076,0.61892,1.21779,0.0075844,0.0075844,0.0075844
124,7314.66,1.17394,0.71771,1.06527,0.86125,0.86092,0.90633,0.62693,1.1809,0.61823,1.21782,0.0075646,0.0075646,0.0075646
125,7644.01,1.1599,0.71159,1.06102,0.86128,0.86154,0.90657,0.6271,1.18065,0.61771,1.21777,0.0075448,0.0075448,0.0075448
126,7974.51,1.16728,0.71138,1.06049,0.86027,0.86236,0.90681,0.62705,1.18027,0.61758,1.21754,0.007525,0.007525,0.007525
127,8302.14,1.16613,0.71547,1.06142,0.86232,0.86244,0.90749,0.62756,1.17989,0.6166,1.21738,0.0075052,0.0075052,0.0075052
128,8631.57,1.16881,0.7149,1.06581,0.8626,0.86235,0.90768,0.62795,1.1794,0.61554,1.21711,0.0074854,0.0074854,0.0074854
129,8963.56,1.15168,0.7014,1.05708,0.86329,0.86249,0.90795,0.62826,1.17874,0.61534,1.21693,0.0074656,0.0074656,0.0074656
130,9291.44,1.16638,0.71308,1.06272,0.86373,0.86294,0.90813,0.62827,1.17822,0.61504,1.21662,0.0074458,0.0074458,0.0074458
131,9619.39,1.16637,0.70848,1.06413,0.86263,0.86391,0.90826,0.62858,1.17782,0.61443,1.21654,0.007426,0.007426,0.007426
132,9951.03,1.16453,0.70492,1.06087,0.86278,0.86382,0.9083,0.62862,1.17797,0.61374,1.21662,0.0074062,0.0074062,0.0074062
133,10284.9,1.16045,0.71067,1.0609,0.86371,0.86339,0.90861,0.62865,1.17756,0.61342,1.21637,0.0073864,0.0073864,0.0073864
134,10613.6,1.15704,0.70792,1.05621,0.86458,0.86226,0.90864,0.629,1.17701,0.61305,1.2161,0.0073666,0.0073666,0.0073666
135,10941.1,1.15167,0.69853,1.05652,0.86451,0.86266,0.9086,0.62903,1.17655,0.61273,1.2159,0.0073468,0.0073468,0.0073468
136,11270.7,1.15496,0.70353,1.05741,0.86319,0.86361,0.90862,0.62922,1.17618,0.61309,1.21555,0.007327,0.007327,0.007327
137,11597.5,1.15413,0.70051,1.05781,0.86319,0.8634,0.90845,0.62951,1.17554,0.61278,1.21535,0.0073072,0.0073072,0.0073072
138,361.133,1.08603,0.64348,1.03426,0.86318,0.86342,0.90819,0.62955,1.17574,0.61195,1.21485,0.0072874,0.0072874,0.0072874
139,714.482,1.11144,0.66275,1.04173,0.86291,0.86398,0.90834,0.6298,1.17534,0.6119,1.2148,0.0072676,0.0072676,0.0072676
140,1061.12,1.12131,0.6776,1.04522,0.86287,0.86323,0.90791,0.62993,1.17494,0.6119,1.2149,0.0072478,0.0072478,0.0072478
141,1412.71,1.13265,0.68141,1.04872,0.86266,0.86414,0.90785,0.6302,1.17468,0.6119,1.21488,0.007228,0.007228,0.007228
142,1765.53,1.13166,0.67954,1.04897,0.86374,0.86412,0.90797,0.63035,1.17452,0.6118,1.21512,0.0072082,0.0072082,0.0072082
143,2115.95,1.13336,0.67914,1.04984,0.86366,0.8638,0.90817,0.63,1.17449,0.61156,1.21519,0.0071884,0.0071884,0.0071884
144,2467.51,1.13253,0.68063,1.04961,0.86456,0.86371,0.90822,0.6303,1.17389,0.61126,1.21509,0.0071686,0.0071686,0.0071686
145,2813.79,1.13517,0.685,1.05281,0.8637,0.86383,0.90845,0.63055,1.17353,0.61137,1.21505,0.0071488,0.0071488,0.0071488
146,3159.22,1.13993,0.69129,1.05312,0.86285,0.8645,0.90849,0.6306,1.17302,0.61125,1.21467,0.007129,0.007129,0.007129
147,3502.18,1.14324,0.69143,1.05371,0.86312,0.86483,0.90839,0.63065,1.17303,0.61136,1.21474,0.0071092,0.0071092,0.0071092
148,3845.26,1.13794,0.68798,1.05331,0.8627,0.86522,0.90868,0.63087,1.17283,0.61098,1.21465,0.0070894,0.0070894,0.0070894
149,4192.4,1.14425,0.69101,1.05209,0.8637,0.86529,0.90845,0.6311,1.17276,0.61076,1.21461,0.0070696,0.0070696,0.0070696
150,4540.81,1.13478,0.68681,1.05025,0.86388,0.86559,0.90855,0.631,1.17276,0.61083,1.21453,0.0070498,0.0070498,0.0070498
151,4888.55,1.13729,0.68787,1.05231,0.8643,0.86508,0.90823,0.63138,1.17246,0.61064,1.21438,0.00703,0.00703,0.00703
152,5258.16,1.14027,0.6907,1.0507,0.86482,0.86503,0.90849,0.63135,1.17225,0.61086,1.21431,0.0070102,0.0070102,0.0070102
153,5605.58,1.14018,0.69282,1.05302,0.86394,0.8651,0.90819,0.63149,1.17215,0.61066,1.21457,0.0069904,0.0069904,0.0069904
154,5950.63,1.14481,0.69046,1.05727,0.86385,0.86557,0.90821,0.63139,1.17239,0.61071,1.21478,0.0069706,0.0069706,0.0069706
155,6294.11,1.14862,0.69679,1.05114,0.86369,0.8653,0.90847,0.63159,1.17233,0.61021,1.21473,0.0069508,0.0069508,0.0069508
156,6643.92,1.14819,0.69103,1.05139,0.8637,0.86537,0.90854,0.63187,1.17235,0.60967,1.21477,0.006931,0.006931,0.006931
157,6991.75,1.14188,0.69053,1.05013,0.86441,0.86503,0.90886,0.63186,1.17196,0.60937,1.21443,0.0069112,0.0069112,0.0069112
158,7339.3,1.14137,0.68702,1.05277,0.86383,0.86548,0.90906,0.632,1.17203,0.60891,1.2145,0.0068914,0.0068914,0.0068914
159,7686.39,1.15134,0.69776,1.05429,0.86404,0.86585,0.90895,0.63206,1.1715,0.60795,1.21415,0.0068716,0.0068716,0.0068716
160,8032.11,1.13957,0.68827,1.05124,0.86414,0.86605,0.90892,0.63232,1.17112,0.60777,1.21387,0.0068518,0.0068518,0.0068518
161,8379.54,1.14453,0.6918,1.04818,0.86465,0.86582,0.90895,0.63225,1.17062,0.60737,1.21376,0.006832,0.006832,0.006832
162,8726.75,1.14469,0.69634,1.05156,0.86412,0.86599,0.90875,0.63254,1.17027,0.60677,1.21333,0.0068122,0.0068122,0.0068122
163,9073.73,1.14822,0.69725,1.05399,0.86466,0.86569,0.90895,0.63264,1.16989,0.60624,1.21331,0.0067924,0.0067924,0.0067924
164,9421.75,1.13039,0.68267,1.04649,0.86463,0.86688,0.90888,0.63275,1.16956,0.60558,1.21326,0.0067726,0.0067726,0.0067726
165,9773.21,1.14397,0.69163,1.05281,0.86502,0.86756,0.90881,0.63298,1.16907,0.60498,1.21291,0.0067528,0.0067528,0.0067528
166,10123.3,1.14489,0.6923,1.05628,0.86452,0.86813,0.9096,0.63331,1.16879,0.60454,1.21293,0.006733,0.006733,0.006733
167,10472.9,1.14514,0.68989,1.05268,0.86493,0.86846,0.91002,0.6334,1.16839,0.60418,1.21263,0.0067132,0.0067132,0.0067132
168,10823.8,1.14036,0.68936,1.05018,0.86477,0.86888,0.90971,0.63341,1.16775,0.60368,1.2123,0.0066934,0.0066934,0.0066934
169,11173.1,1.13827,0.68937,1.05022,0.86539,0.86928,0.91052,0.6339,1.16726,0.60314,1.21212,0.0066736,0.0066736,0.0066736
170,11524,1.13717,0.68282,1.05107,0.86547,0.86981,0.91064,0.63411,1.16688,0.60277,1.21187,0.0066538,0.0066538,0.0066538
171,11880.4,1.13339,0.68708,1.05058,0.8654,0.86949,0.9105,0.63436,1.16667,0.60267,1.21161,0.006634,0.006634,0.006634
